Lap,Time,Pace,GAP,HR,Distance_km,file,Activity,KM,Elev,Cadence
87.0,,6.816666666666666,6.9,116,,../data/run-efforts-table/2.html,2,87,-11m,166spm
88.0,,7.883333333333333,7.816666666666666,116,,../data/run-efforts-table/2.html,2,88,-1m,152spm
89.0,,8.333333333333334,7.816666666666666,109,,../data/run-efforts-table/2.html,2,89,15m,142spm
90.0,,8.35,8.016666666666667,113,,../data/run-efforts-table/2.html,2,90,6m,144spm
91.0,,7.55,7.05,123,,../data/run-efforts-table/2.html,2,91,15m,158spm
92.0,,7.5,7.35,118,,../data/run-efforts-table/2.html,2,92,-1m,168spm
93.0,,7.666666666666667,7.5,117,,../data/run-efforts-table/2.html,2,93,3m,168spm
94.0,,7.7,7.666666666666667,115,,../data/run-efforts-table/2.html,2,94,-4m,164spm
95.0,,9.3,8.583333333333334,112,,../data/run-efforts-table/2.html,2,95,19m,130spm
96.0,,7.366666666666666,7.316666666666666,120,,../data/run-efforts-table/2.html,2,96,-4m,168spm
97.0,,7.1,7.266666666666667,112,,../data/run-efforts-table/2.html,2,97,-17m,170spm
98.0,,8.183333333333334,8.15,109,,../data/run-efforts-table/2.html,2,98,-4m,152spm
99.0,,8.316666666666666,7.9,112,,../data/run-efforts-table/2.html,2,99,10m,158spm
100.0,,8.15,7.683333333333334,114,,../data/run-efforts-table/2.html,2,100,8m,140spm
101.0,,6.633333333333333,6.733333333333333,113,,../data/run-efforts-table/2.html,2,101,-16m,172spm
102.0,,6.8,6.9,114,,../data/run-efforts-table/2.html,2,102,-12m,166spm
103.0,,7.566666666666666,7.516666666666667,113,,../data/run-efforts-table/2.html,2,103,-3m,156spm
104.0,,8.0,7.916666666666667,111,,../data/run-efforts-table/2.html,2,104,1m,154spm
105.0,,9.45,9.216666666666667,107,,../data/run-efforts-table/2.html,2,105,5m,128spm
106.0,,8.216666666666667,7.983333333333333,109,,../data/run-efforts-table/2.html,2,106,4m,146spm
107.0,,7.666666666666667,7.683333333333334,113,,../data/run-efforts-table/2.html,2,107,-6m,160spm
108.0,,9.083333333333334,8.966666666666667,106,,../data/run-efforts-table/2.html,2,108,1m,130spm
109.0,,9.066666666666666,8.816666666666666,106,,../data/run-efforts-table/2.html,2,109,5m,130spm
110.0,,9.45,9.2,102,,../data/run-efforts-table/2.html,2,110,4m,128spm
111.0,,9.35,9.183333333333334,107,,../data/run-efforts-table/2.html,2,111,0m,126spm
112.0,,9.35,9.05,107,,../data/run-efforts-table/2.html,2,112,6m,126spm
113.0,,3.6166666666666667,3.5166666666666666,107,,../data/run-efforts-table/2.html,2,0.76,6m,84spm
1.0,8.033333333333333,8.033333333333333,7.2,116,1.0,../data/run-efforts-table/3.html,3,,,
2.0,8.3,8.3,7.233333333333333,119,1.0,../data/run-efforts-table/3.html,3,,,
3.0,6.916666666666667,6.916666666666667,6.966666666666667,119,1.0,../data/run-efforts-table/3.html,3,,,
4.0,7.316666666666666,7.316666666666666,7.016666666666667,121,1.0,../data/run-efforts-table/3.html,3,,,
5.0,7.45,7.45,6.85,122,1.0,../data/run-efforts-table/3.html,3,,,
6.0,7.083333333333333,7.083333333333333,7.166666666666667,115,1.0,../data/run-efforts-table/3.html,3,,,
7.0,7.283333333333333,7.283333333333333,7.016666666666667,116,1.0,../data/run-efforts-table/3.html,3,,,
8.0,7.05,7.05,7.066666666666666,111,1.0,../data/run-efforts-table/3.html,3,,,
9.0,6.75,6.75,6.933333333333334,108,1.0,../data/run-efforts-table/3.html,3,,,
10.0,6.95,6.95,7.0,109,1.0,../data/run-efforts-table/3.html,3,,,
11.0,11.133333333333333,11.133333333333333,7.316666666666666,105,1.0,../data/run-efforts-table/3.html,3,,,
12.0,6.833333333333333,6.833333333333333,6.75,106,1.0,../data/run-efforts-table/3.html,3,,,
13.0,7.416666666666667,7.416666666666667,7.05,109,1.0,../data/run-efforts-table/3.html,3,,,
14.0,7.433333333333334,7.433333333333334,7.016666666666667,109,1.0,../data/run-efforts-table/3.html,3,,,
15.0,6.866666666666667,6.866666666666667,7.066666666666666,104,1.0,../data/run-efforts-table/3.html,3,,,
16.0,7.633333333333333,7.633333333333333,7.316666666666666,107,1.0,../data/run-efforts-table/3.html,3,,,
17.0,7.55,7.55,7.016666666666667,110,1.0,../data/run-efforts-table/3.html,3,,,
18.0,7.983333333333333,7.983333333333333,7.3,111,1.0,../data/run-efforts-table/3.html,3,,,
19.0,7.7,7.7,7.383333333333334,109,1.0,../data/run-efforts-table/3.html,3,,,
20.0,7.116666666666666,7.116666666666666,6.883333333333333,109,1.0,../data/run-efforts-table/3.html,3,,,
21.0,7.133333333333334,7.133333333333334,6.95,109,1.0,../data/run-efforts-table/3.html,3,,,
22.0,14.933333333333334,14.933333333333334,7.416666666666667,108,1.0,../data/run-efforts-table/3.html,3,,,
23.0,6.566666666666666,6.566666666666666,6.483333333333333,106,1.0,../data/run-efforts-table/3.html,3,,,
24.0,6.616666666666667,6.616666666666667,6.65,109,1.0,../data/run-efforts-table/3.html,3,,,
25.0,6.766666666666667,6.766666666666667,6.8,109,1.0,../data/run-efforts-table/3.html,3,,,
26.0,6.833333333333333,6.833333333333333,6.816666666666666,109,1.0,../data/run-efforts-table/3.html,3,,,
27.0,6.966666666666667,6.966666666666667,6.95,109,1.0,../data/run-efforts-table/3.html,3,,,
28.0,6.883333333333333,6.883333333333333,6.666666666666667,111,1.0,../data/run-efforts-table/3.html,3,,,
29.0,6.7,6.7,6.75,109,1.0,../data/run-efforts-table/3.html,3,,,
30.0,8.666666666666666,8.666666666666666,6.95,108,1.0,../data/run-efforts-table/3.html,3,,,
31.0,6.6,6.6,6.683333333333334,109,1.0,../data/run-efforts-table/3.html,3,,,
32.0,6.8,6.8,6.733333333333333,110,1.0,../data/run-efforts-table/3.html,3,,,
33.0,12.283333333333333,12.283333333333333,7.016666666666667,106,1.0,../data/run-efforts-table/3.html,3,,,
34.0,7.283333333333333,7.283333333333333,7.033333333333333,107,1.0,../data/run-efforts-table/3.html,3,,,
35.0,7.166666666666667,7.166666666666667,6.966666666666667,108,1.0,../data/run-efforts-table/3.html,3,,,
36.0,7.466666666666667,7.466666666666667,7.016666666666667,110,1.0,../data/run-efforts-table/3.html,3,,,
37.0,6.933333333333334,6.933333333333334,7.066666666666666,108,1.0,../data/run-efforts-table/3.html,3,,,
38.0,6.9,6.9,6.983333333333333,108,1.0,../data/run-efforts-table/3.html,3,,,
39.0,7.3,7.3,6.95,109,1.0,../data/run-efforts-table/3.html,3,,,
40.0,7.1,7.1,6.983333333333333,109,1.0,../data/run-efforts-table/3.html,3,,,
41.0,7.233333333333333,7.233333333333333,7.066666666666666,110,1.0,../data/run-efforts-table/3.html,3,,,
42.0,8.383333333333333,8.383333333333333,7.616666666666667,108,1.0,../data/run-efforts-table/3.html,3,,,
43.0,7.583333333333333,7.583333333333333,7.0,110,1.0,../data/run-efforts-table/3.html,3,,,
44.0,17.083333333333332,17.083333333333332,7.05,106,1.0,../data/run-efforts-table/3.html,3,,,
45.0,6.883333333333333,6.883333333333333,7.033333333333333,103,1.0,../data/run-efforts-table/3.html,3,,,
46.0,7.233333333333333,7.233333333333333,7.0,107,1.0,../data/run-efforts-table/3.html,3,,,
47.0,8.316666666666666,8.316666666666666,7.35,108,1.0,../data/run-efforts-table/3.html,3,,,
48.0,7.3,7.3,7.2,110,1.0,../data/run-efforts-table/3.html,3,,,
